start_x,start_y,end_x,end_y,prev_x,prev_y,prev_speed,next_x,next_y,next_speed,delta_start,delta_end
1151,161,458,319,1152,161,6.0,1152,163,67.0,1.0,711.7583859709698
1151,161,458,319,1152,163,67.0,1151,165,63.0,2.23606797749979,711.3170882243727
1151,161,458,319,1151,165,63.0,1137,175,424.0,4.0,709.9049232115523
1151,161,458,319,1137,175,424.0,1088,198,1441.0,19.79898987322333,694.1015775806881
1151,161,458,319,1088,198,1441.0,1028,220,1765.0,73.06161783043132,641.5146140190417
1151,161,458,319,1028,220,1765.0,921,254,3242.0,136.41847382227965,578.5334908196759
1151,161,458,319,921,254,3242.0,785,288,4250.0,248.09070921741508,467.54037258829317
1151,161,458,319,785,288,4250.0,707,304,2167.0,387.40805360756247,328.4661321963042
1151,161,458,319,707,304,2167.0,635,316,2323.0,466.460073318178,249.45139807184887
1151,161,458,319,635,316,2323.0,591,322,1333.0,538.7773194929423,177.02542190318317
1151,161,458,319,591,322,1333.0,561,325,857.0,582.6843056063892,133.0338302838793
1151,161,458,319,561,325,857.0,542,324,576.0,612.3691697007615,103.1746092796091
1151,161,458,319,542,324,576.0,507,319,1094.0,630.4363568196238,84.1486779456457
1151,161,458,319,507,319,1094.0,471,318,1059.0,663.0987860040161,49.0
1151,161,458,319,471,318,1059.0,458,319,394.0,697.8889596490261,13.038404810405298
1151,161,458,319,458,319,394.0,458,319,0.0,710.7833706552229,0.0
458,319,92,170,455,319,11.0,438,318,531.0,3.0,392.3901120058965
458,319,92,170,438,318,531.0,400,313,1118.0,20.024984394500787,376.3243282064023
458,319,92,170,400,313,1118.0,312,291,2588.0,58.309518948453004,339.5776788895289
458,319,92,170,312,291,2588.0,235,269,2333.0,148.66068747318505,251.0796686312932
458,319,92,170,235,269,2333.0,182,248,1656.0,228.53664913969487,173.92527130926086
458,319,92,170,182,248,1656.0,142,220,1176.0,284.98596456667826,119.09659944767525
458,319,92,170,142,220,1176.0,128,202,545.0,331.14498335321343,70.71067811865476
458,319,92,170,128,202,545.0,123,191,324.0,350.1271197722336,48.16637831516918
458,319,92,170,123,191,324.0,116,184,212.0,358.62096982747676,37.44329045369811
458,319,92,170,116,184,212.0,105,177,324.0,367.68056788467896,27.784887978899608
458,319,92,170,105,177,324.0,96,172,273.0,380.4904729424904,14.7648230602334
458,319,92,170,96,172,273.0,92,170,0.0,390.7083311115851,4.47213595499958
91,169,796,487,91,170,13.0,99,189,475.0,1.0,772.9902974811521
91,169,796,487,99,189,475.0,120,220,912.0,21.540659228538015,758.032321210646
91,169,796,487,120,220,912.0,175,274,1667.0,58.66856057549052,726.8184092330079
91,169,796,487,175,274,1667.0,270,333,2794.0,134.46560898608982,656.5135185203729
91,169,796,487,270,333,2794.0,422,408,4606.0,242.76943794472976,548.0802860895473
91,169,796,487,422,408,4606.0,533,447,3265.0,408.2670694533175,382.2525343277661
91,169,796,487,533,447,3265.0,648,479,3594.0,522.1570644930508,266.02443496791795
91,169,796,487,648,479,3594.0,723,496,2206.0,637.4550964577819,148.21605850919124
91,169,796,487,723,496,2206.0,759,500,1091.0,711.5848508786567,73.55270219373317
91,169,796,487,759,500,1091.0,770,498,324.0,745.5098926238337,39.21734310225516
91,169,796,487,770,498,324.0,772,496,49.0,754.507786573472,28.231188426986208
91,169,796,487,772,496,49.0,785,492,310.0,755.4402689822671,25.632011235952593
91,169,796,487,785,492,310.0,792,489,212.0,765.4835073337636,12.083045973594572
91,169,796,487,792,489,212.0,795,487,88.0,770.584842830431,4.47213595499958
91,169,796,487,795,487,88.0,796,487,0.0,772.4894821290449,1.0
796,487,1157,727,796,488,5.0,796,489,22.0,1.0,432.9457240809753
796,487,1157,727,796,489,22.0,804,502,394.0,2.0,432.3944958021552
796,487,1157,727,804,502,394.0,825,525,697.0,17.0,418.6096033298806
796,487,1157,727,825,525,697.0,878,570,1606.0,47.80167361086848,388.6232108353797
796,487,1157,727,878,570,1606.0,937,611,1686.0,116.67476162392619,320.14059411452337
796,487,1157,727,937,611,1686.0,1035,667,3063.0,187.76847445724215,248.70866490735702
796,487,1157,727,1035,667,3063.0,1094,697,1686.0,299.20060160367325,135.95587519485872
796,487,1157,727,1094,697,1686.0,1144,718,1563.0,364.5600087777045,69.77822009767804
796,487,1157,727,1144,718,1563.0,1158,725,424.0,417.6900764921283,15.811388300841896
796,487,1157,727,1158,725,424.0,1159,726,20.0,433.22973120505014,2.23606797749979
796,487,1157,727,1159,726,20.0,1157,727,19.0,434.6147719532782,2.23606797749979
796,487,1157,727,1157,727,19.0,1157,727,0.0,433.4985582444306,0.0
